1985 1891
4.331120 -0.289278 0.000000
0.240542 -0.488452 0.000000
0.350246 -0.475913 0.000000
0.240542 0.488452 0.000000
0.130689 0.499604 0.000000
-1.444300 -0.385980 0.000000
-1.329443 -0.417342 0.000000
0.912206 0.008239 0.413551
0.810379 0.004493 0.429473
1.443138 0.323534 0.000000
1.333721 0.337642 0.000000
1.333721 0.337642 0.000000
1.224416 0.352595 0.000000
-0.534235 -0.525044 0.000000
-0.422779 -0.526856 0.000000
4.219429 0.286011 0.000000
4.107745 0.282520 0.000000
4.331120 0.289278 0.000000
4.219429 0.286011 0.000000
-0.646583 -0.520274 0.000000
-0.534235 -0.525044 0.000000
2.768548 -0.250036 0.000000
2.879895 -0.250449 0.000000
3.772566 0.271435 0.000000
3.660838 0.267784 0.000000
1.115182 0.368171 0.000000
1.006005 0.384144 0.000000
-1.919110 0.182427 0.000000
-1.939141 0.162297 0.000000
2.435311 0.253523 0.000000
2.324400 0.256509 0.000000
2.103095 0.265658 0.000000
1.992711 0.271967 0.000000
1.992711 0.271967 0.000000
1.882406 0.279538 0.000000
0.459763 -0.462218 0.000000
0.569158 -0.447585 0.000000
-0.872138 0.501021 0.000000
-0.985114 0.486162 0.000000
4.777324 0.298611 0.000000
4.665827 0.296985 0.000000
1.662409 0.298744 0.000000
1.552701 0.310493 0.000000
3.102739 -0.253193 0.000000
3.214233 -0.255375 0.000000
-0.872138 -0.501021 0.000000
-0.758756 -0.512375 0.000000
4.331120 -0.289278 0.000000
4.442724 -0.292245 0.000000
0.703611 0.181993 0.404838
0.821809 0.178365 0.386826
0.020541 -0.509159 0.000000
0.130689 -0.499604 0.000000
-1.897326 0.200646 0.000000
-1.919110 0.182427 0.000000
1.221536 0.018466 0.363817
1.117747 0.015508 0.380549
-1.791294 0.262351 0.000000
-1.897326 0.200646 0.000000
0.678447 -0.432239 0.000000
0.787665 -0.416402 0.000000
1.662409 -0.298744 0.000000
1.772346 -0.288436 0.000000
1.006005 -0.384144 0.000000
1.115182 -0.368171 0.000000
1.115182 -0.368171 0.000000
1.224416 -0.352595 0.000000
-1.919110 -0.182427 0.000000
-1.897326 -0.200646 0.000000
-1.939141 -0.162297 0.000000
-1.919110 -0.182427 0.000000
0.205964 0.032721 0.507457
0.205737 0.042823 0.506699
0.205737 0.042823 0.506699
0.208967 0.052346 0.505450
1.013979 0.011999 0.397296
0.912206 0.008239 0.413551
3.884292 -0.275157 0.000000
3.996017 -0.278877 0.000000
3.996017 -0.278877 0.000000
4.107745 -0.282520 0.000000
5.000000 -0.077892 0.070224
5.000000 -0.000000 0.075000
0.585879 0.177439 0.425500
0.703611 0.181993 0.404838
-1.099680 -0.467307 0.000000
-0.985114 -0.486162 0.000000
2.324400 0.256509 0.000000
2.213724 0.260527 0.000000
2.324400 -0.256509 0.000000
2.435311 -0.253523 0.000000
2.546243 -0.251499 0.000000
2.657393 -0.250361 0.000000
-0.200485 0.522555 0.000000
-0.311313 0.525951 0.000000
2.991237 -0.251525 0.000000
3.102739 -0.253193 0.000000
1.552701 0.310493 0.000000
1.443138 0.323534 0.000000
2.991237 0.251525 0.000000
2.879895 0.250449 0.000000
2.435311 -0.253523 0.000000
2.546243 -0.251499 0.000000
1.295945 0.118859 0.331174
1.399560 0.098213 0.321401
3.325851 0.258000 0.000000
3.214233 0.255375 0.000000
2.657393 -0.250361 0.000000
2.768548 -0.250036 0.000000
1.443867 0.022480 0.328938
1.332658 0.020883 0.346144
1.332658 0.020883 0.346144
1.221536 0.018466 0.363817
1.066655 0.155187 0.355287
1.181495 0.138626 0.342670
-1.956672 0.140539 0.000000
-1.971571 0.116902 0.000000
-1.939141 0.162297 0.000000
-1.956672 0.140539 0.000000
2.546243 0.251499 0.000000
2.435311 0.253523 0.000000
1.772346 0.288436 0.000000
1.662409 0.298744 0.000000
3.884292 0.275157 0.000000
3.772566 0.271435 0.000000
1.772346 -0.288436 0.000000
1.882406 -0.279538 0.000000
2.103095 -0.265658 0.000000
2.213724 -0.260527 0.000000
0.896838 -0.400296 0.000000
1.006005 -0.384144 0.000000
0.787665 -0.416402 0.000000
0.896838 -0.400296 0.000000
-1.897326 -0.200646 0.000000
-1.791294 -0.262351 0.000000
3.437459 0.260992 0.000000
3.325851 0.258000 0.000000
2.768548 0.250036 0.000000
2.657393 0.250361 0.000000
3.214233 0.255375 0.000000
3.102739 0.253193 0.000000
1.181495 0.138626 0.342670
1.295945 0.118859 0.331174
3.549152 0.264279 0.000000
3.437459 0.260992 0.000000
1.224416 0.352595 0.000000
1.115182 0.368171 0.000000
-1.956672 -0.140539 0.000000
-1.939141 -0.162297 0.000000
2.879895 0.250449 0.000000
2.768548 0.250036 0.000000
1.224416 -0.352595 0.000000
1.333721 -0.337642 0.000000
